Name,Country,Sectors,Website link
6Bees FZ LLC,United Arab Emirates,N/A,N/A
7G Fuse,United Arab Emirates,"['5G & Telecommunications', 'AgriTech & FoodTech', 'Big Data & Analytics', 'Cyber security', 'Space Tech']",https://www.7gfuse.com
a7jiz.com,Egypt,"['Artificial Intelligence', 'Big Data & Analytics', 'Ecommerce', 'Retail Tech', 'Software Services']",https://welcome.a7jiz.com/
ABAKA AI PTE.LTD,China,"['3D Printing & Printing Services', 'Fintech']",https://www.molardata.com/
ABLAZE IT LABS,Ethiopia,"['Artificial Intelligence', 'Coding and Development', 'Ecommerce', 'Education Tech', 'Software Services']",http://www.ablazelabs.com
Abu Dhabi Early Childhood Authority,United Arab Emirates,N/A,https://eca.gov.ae/ar-ae/
ACE Marketing Inc (Shanghai),China,N/A,https://www.acemarketing.com.cn/
Achieverati Hospitality Services,United Arab Emirates,N/A,N/A
ACKLO Incorporation,"Korea, Republic Of",N/A,N/A
Ada Software Solution Company,Iran,"['Artificial Intelligence', 'Big Data & Analytics', 'Coding and Development', 'Ecommerce', 'Software Services']",https://adasoftco.com/
Adler Inc.,"Korea, Republic Of",N/A,https://adler.cx/IR_EN
Africacomicade,Nigeria,N/A,https://www.africacomicade.org
Agrosahas International Private Limited,Uganda,"['AgriTech & FoodTech', 'Artificial Intelligence']",http://www.agrosahas.com
AHASHA,Ukraine,N/A,N/A
Ai Octopus,Kuwait,N/A,N/A
AIMedic,Iran,"['Artificial Intelligence', 'HealthTech']",https://aimedic.co/
AIREC,United States of America,"['Artificial Intelligence', 'Cloud Services', 'Coding and Development', 'Consumer Tech, Smart Home & Smart Workplace', 'Quantum & High Performance Computing']",https://airec.io/
Airrchip Ltd,United Kingdom,"['Artificial Intelligence', 'Cloud Services', 'Coding and Development', 'Fintech']",https://airrchip.com/
AIWORKS.AI,United States of America,"['Media, Marketing & Advertising Tech', 'Retail Tech', 'Software Services']",https://aiworks.ai/
"Algal Bio Co.,Ltd.",Japan,N/A,https://algalbio.co.jp/en/
Ampius Technologies Pvt Ltd,India,N/A,https://www.theampius.com
Apex Brazil Middle East,United Arab Emirates,N/A,https://www.apexbrasil.com.br
Applore Technologies Pvt Ltd,India,N/A,N/A
ARCaptcha,Iran,N/A,https://arcaptcha.co/en/
Arhamsoft LLC,United Arab Emirates,N/A,N/A
Arya Goods Wholesalers L.L.C,United Arab Emirates,N/A,N/A
Ava Pardaz,Iran,N/A,https://avapardaz.vc
"Avatar, inc.",Japan,N/A,https://esthemiru.tech/
"AWL, Inc.",Japan,N/A,http://awl.co.jp/en
Axelerion Consulting Ltd,Hungary,N/A,https://axelerion.com/
Banzan Ventures Pvt Ltd,India,N/A,https://www.banzan.co/
BehfaLab,Iran,"['Big Data & Analytics', 'Cloud Services', 'Software Services']",https://BehfaLab.com/en/
BHS SOLUTIONS GmbH,Germany,N/A,N/A
Big Blue Logistics,Morocco,['Future Mobility & Transportation'],http://bigbluelogistics.com
Billplz Sdn Bhd,Malaysia,N/A,https://www.billplz.com/
Bitglaze Technologies Private Limited,India,N/A,https://www.bitglaze.com
BlinkApp,Egypt,"['Artificial Intelligence', 'Big Data & Analytics', 'Cloud Services', 'Fintech', 'Future Mobility & Transportation']",https://blinkapp.net/
Blue Health Ethiopia,Ethiopia,"['HealthTech', 'Internet of Things (IOT)']",https://bluehealthethiopia.com/
BLUEDOVE,Morocco,N/A,https://www.bluedove.ma
BORNTEQ,Tunisia,N/A,N/A
Bots Factory,Morocco,N/A,N/A
Bugfree Solutions,United States of America,N/A,https://www.bugfree.solutions
"Builder Buddy, Inc.",United States of America,N/A,N/A
BUSINESS LINK,United Arab Emirates,N/A,N/A
Buyo India Private Limited,India,N/A,https://buyofuel.com/
Bytestrone India Private Limited,India,"['Cloud Services', 'Coding and Development', 'Fintech', 'HealthTech', 'Software Services']",https://www.bytestrone.com
Caltrackr,Bulgaria,N/A,https://caltrackr.com
Calvestigate,United Arab Emirates,N/A,N/A
CardoO,Egypt,"['Consumer Tech, Smart Home & Smart Workplace']",https://cardoo.co
CDN Software Solutions Pvt. Ltd.,India,N/A,N/A
Centro Estero per l'Internazionalizzazione s.c.p.a. (siglabile C,Italy,"['Artificial Intelligence', 'Big Data & Analytics', 'Blockchain', 'Cyber security', 'Future Mobility & Transportation']",https://www.centroestero.org/en/
Clairco,India,N/A,https://www.claircoair.com/
Clexi Tech Inc.,Canada,"['Consumer Tech, Smart Home & Smart Workplace', 'Cyber security', 'Internet of Things (IOT)', 'Smart Cities']",https://clexi.io
Closed Door Security,United Kingdom,['Cyber security'],https://www.cdsec.co.uk
Cloudlink IT Solutions,United Arab Emirates,"['Cloud Services', 'Cyber security', 'Data Centres', 'HealthTech', 'Networking & Infrastructure']",https://www.cloudlink.ae
CNICK,Georgia,"['Consumer Tech, Smart Home & Smart Workplace']",https://cnick.io/
"Corpy&Co., Inc.",Japan,N/A,http://corpy.co.jp/en/
CREVERSE,"Korea, Republic Of",N/A,https://creverse.io
Crowd Investments Limited,United Kingdom,N/A,N/A
D'isum Inc.,Japan,N/A,http://d-isum.net
Dareesoft,"Korea, Republic Of",N/A,https://www.dareesoft.com
DATAVIATOR ARTIFICIAL INTELLIGENCE L.L.C,United Arab Emirates,N/A,N/A
DEEL,United Arab Emirates,N/A,https://www.deel.com/
Deep Robotics,China,N/A,http://www.deeprobotics.cn
Deep.Fine,"Korea, Republic Of",N/A,http://deepfine.ai
DeliveryDevs,Pakistan,"['Cyber security', 'Internet of Things (IOT)', 'Media, Marketing & Advertising Tech', 'Networking & Infrastructure', 'Software Services']",https://deliverydevs.com/
Design Peeps,Pakistan,"['Artificial Intelligence', 'Media, Marketing & Advertising Tech', 'Software Services']",https://designpeeps.net/
Devgate Consultancy,Pakistan,N/A,N/A
Devomech Solutions GmbH,Germany,"['3D Printing & Printing Services', 'Artificial Intelligence', 'Coding and Development', 'Consumer Tech, Smart Home & Smart Workplace', 'Education Tech']",https://devomech.com/
Devotech,United Arab Emirates,N/A,N/A
Digital First AI,Poland,N/A,N/A
Dream Farm Agency,United Kingdom,"['Gaming', 'Media, Marketing & Advertising Tech', 'Metaverse, Immersive Tech']",https://dreamfarmagency.com/
Drone Express,United States of America,"['Artificial Intelligence', 'Future Mobility & Transportation', 'Smart Cities', 'Unmanned Aerial Vehicles (Drones)']",http://droneexpress.com
DTEK LLC,United Arab Emirates,"['Artificial Intelligence', 'Retail Tech']",https://dtek.ai/
Dtonic Corporation,"Korea, Republic Of",N/A,https://www.dtonic.io
Dubai Chamber of Digital Economy,United Arab Emirates,N/A,http://www.dubaichamber.ae
Dubai CommerCity,United Arab Emirates,N/A,N/A
Dubai Integrated Economic Zone Authority (DIEZA),United Arab Emirates,N/A,http://www.dafz.ae
Dude Just Dude Portal,United Arab Emirates,N/A,N/A
EGuidance Labs LLP,India,N/A,N/A
Elephantech Inc,Japan,N/A,https://www.elephantech.co.jp/en/
Elktech,Pakistan,N/A,N/A
ELYSEE BRAND,Rwanda,"['3D Printing & Printing Services', 'Media, Marketing & Advertising Tech', 'Networking & Infrastructure', 'Quantum & High Performance Computing']",https://elyseebrand.com/
EnMobi Inc.,Canada,"['Cloud Services', 'Software Services']",https://LinkedCards.com
Enrichly,United States of America,N/A,https://www.enrich.ly
Eram Data Center Infrastructure,Iran,['Data Centres'],http://eramco.ir
Ermin Automotive,India,N/A,https://erminautomotive.com
Etaily,Philippines,"['Ecommerce', 'Retail Tech']",https://www.etaily.com/
EventStan FZCO,United Arab Emirates,N/A,N/A
Explurger Private Limited,India,N/A,https://www.explurger.com
expoHIS,Türkiye,N/A,N/A
Extern Labs Pvt Ltd,India,N/A,N/A
FACEKI,Bahrain,"['Blockchain', 'Cyber security', 'Fintech', 'Retail Tech']",https://faceki.com/
Facia.ai,United Kingdom,N/A,https://facia.ai
Fair Pattern LLC - FZ,United Arab Emirates,N/A,N/A
FAMPPY INC.,"Korea, Republic Of",N/A,https://www.famppy.com
Faradai Limited,United Kingdom,N/A,https://www.faradai.ai
FCC Analytics Limited,Hong Kong Special Administrative Region,N/A,https://www.fcc-analytics.com/
Fitchain,United Arab Emirates,N/A,N/A
Flat6Labs Limited,United Arab Emirates,N/A,http://www.flat6labs.com
FlyForce,United Arab Emirates,N/A,N/A
Folium AI,Pakistan,"['Big Data & Analytics', 'Cloud Services', 'Coding and Development']",https://folium.ai
Foods Supplies Company for Information Technology,Saudi Arabia,N/A,N/A
Fuspay Technology Inc.,United States Minor Outlying Islands,['Fintech'],https://www.instance.finance
Futuremain,"Korea, Republic Of",N/A,https://www.futuremain.com
Gahvare Good Enough Parenting,Iran,['HealthTech'],https://gahvare.net
Galaxy Weblinks Inc,India,"['Cloud Services', 'Coding and Development', 'Ecommerce', 'Retail Tech', 'Software Services']",https://galaxyweblinks.com
Get Energy,United Arab Emirates,"['Consumer Tech, Smart Home & Smart Workplace', 'Retail Tech', 'Smart Cities', 'Software Services', 'Sustainability & Green Tech']",http://getenergy.global
Get Marketed,India,N/A,N/A
Ghadir Design and Processing,Iran,"['Artificial Intelligence', 'Consumer Tech, Smart Home & Smart Workplace', 'Fintech', 'Smart Cities']",https://ghadir.co/
Ghani Consulting Group,United States of America,N/A,N/A
GIFTY - Digital Shop Maker,Nigeria,"['Artificial Intelligence', 'Big Data & Analytics', 'Ecommerce', 'Retail Tech']",https://gifty.com.ng
Global innovation & Entrepreneurship (GIE) Company,United Arab Emirates,"['Artificial Intelligence', 'Internet of Things (IOT)', 'Media, Marketing & Advertising Tech', 'Smart Cities', 'Sustainability & Green Tech']",https://gie.xyz/
Global Staffing Support BV,Netherlands,"['Coding and Development', 'Ecommerce', 'Internet of Things (IOT)', 'Media, Marketing & Advertising Tech', 'Software Services']",https://globalstaffingsupport.com/
GRAIT Portal,United Arab Emirates,N/A,N/A
"GroundK co.,ltd.","Korea, Republic Of",N/A,https://groundk.com
Hanker Technologies,Pakistan,N/A,N/A
Harper Development FZE,United Arab Emirates,N/A,N/A
Harper Development FZE,United Arab Emirates,N/A,N/A
Hirad Smart Trading Co.,Iran,"['Ecommerce', 'Education Tech', 'Media, Marketing & Advertising Tech']",https://en.hiradltd.com/
HOLOOLTECH,United Arab Emirates,"['Coding and Development', 'Cyber security', 'Gaming', 'Media, Marketing & Advertising Tech', 'Software Services']",http://www.holooltech.com
HOOPAD SANAAT KARMANIA,Iran,N/A,https://hoopadsanaat.com
Hooshmand afzar negareh energy,Iran,N/A,https://hantech.co.ir
Hooshmansazi Tahlil Dadeha,Iran,N/A,https://suivi.social
Hub71,United Arab Emirates,N/A,https://hub71.com
i-ESG,"Korea, Republic Of",N/A,https://i-esg.io
iClassifier Inc.,Canada,N/A,N/A
Ideh Pardazan Mobtaker Sharif (XR Medics),Iran,N/A,https://xrmedics.co
Ignite National Technology Fund,Pakistan,N/A,N/A
Ikhtasar Alzaman company,Saudi Arabia,N/A,N/A
Inference Labs,India,N/A,N/A
INFORICH Inc.,Japan,N/A,https://chargespot.jp/global/
Innovitics inc.,Egypt,N/A,N/A
Intelligent Approach L.L.C-FZ,United Arab Emirates,N/A,N/A
IP Instrument Co.,Canada,"['5G & Telecommunications', 'Cloud Services', 'Cyber security', 'Networking & Infrastructure']",https://IPInstrument.com
Ismat Cloud Service and Datacenters Providers,United Arab Emirates,N/A,https://cleverflowhq.com
ITACK Solutions,Pakistan,N/A,N/A
Italian Trade Commission (ICE),United Arab Emirates,N/A,https://www.ice.it/it
Javan Fekran Dadeh Gostar,Iran,N/A,https://vistaapp.ir
JETRO,United Arab Emirates,"['Artificial Intelligence', 'Big Data & Analytics', 'Blockchain', 'Energy Tech', 'Software Services']",https://www.jetro.go.jp/en/
"Jiaxing Zhelun Tech Co.,Ltd.",China,"['Artificial Intelligence', 'Consumer Tech, Smart Home & Smart Workplace', 'Future Mobility & Transportation', 'Internet of Things (IOT)', 'Sustainability & Green Tech']",https://newurtopia.com
"Justy's Adventure Co., Ltd.","Korea, Republic Of",N/A,https://www.marineschedule.com
Kaleela - Learn Arabic the right way,Jordan,"['Coding and Development', 'Education Tech', 'Media, Marketing & Advertising Tech']",https://kaleela.com/
Kanjo,United Kingdom,N/A,https://mykanjo.com
Kapturise,United Arab Emirates,N/A,https://www.kapturise.com
Keeperz Networks FZCO,United Arab Emirates,N/A,N/A
Kerala Startup Mission,India,N/A,https://www.startupmission.kerala.gov.in
Kestone Integrated Marketing Services - A Division of CL Educate,India,N/A,N/A
KODEHASH TECHNOLOGIES PVT LTD,India,"['Cloud Services', 'Coding and Development', 'Ecommerce', 'Media, Marketing & Advertising Tech', 'Software Services']",https://www.kodehash.com
Kokoro Kids,Spain,N/A,https://apolokids.com/en/kokoro-kids-app-2/
Korea Testing Laboratory DMCC branch,"Korea, Republic Of",N/A,https://www.ktl.re.kr
Kotozna,Japan,N/A,https://www.kotozna.com
Kuwait Digital Agency (KDA),Kuwait,"['Big Data & Analytics', 'Cloud Services', 'Coding and Development', 'Consumer Tech, Smart Home & Smart Workplace', 'Ecommerce']",https://www.kdaind.com/
"LegAI Tech, Inc.",United States of America,"['Artificial Intelligence', 'Blockchain', 'Software Services']",https://www.legaitech.com
Lekotech,Albania,N/A,N/A
Lightbulb Edtech (Pty) Ltd,South Africa,N/A,https://www.lightbulbedtech.com
Lighters Company,"Korea, Republic Of",N/A,https://www.kooky.io
LocationMind Inc.,Japan,N/A,https://locationmind.com/top-page-e/
M&A Consulting,Italy,"['Consumer Tech, Smart Home & Smart Workplace', 'Internet of Things (IOT)', 'Media, Marketing & Advertising Tech', 'Sustainability & Green Tech']",https://www.acasmea.com
Machine Learning 1 Limited,United Kingdom,"['Artificial Intelligence', 'Big Data & Analytics', 'Cloud Services', 'Fintech', 'HealthTech']",https://ml1.ai
Magly,Poland,N/A,https://www.MaglyGame.com
Mana Afraz Khavar,Iran,N/A,https://spinn.ai
MARVRUS,"Korea, Republic Of",N/A,https://www.marvrus.com/
Mbshr Technologies,United Arab Emirates,N/A,N/A
"MESON. inc,",Japan,N/A,https://www.meson.tokyo/en/
"MetaUniverse.Co.,Ltd.","Korea, Republic Of",N/A,"https://www.metauniverse.net,"
Minnapad Pte. Ltd.,Japan,N/A,http://www.ga-match.jp
Misplaced Minds Private Limited,India,N/A,N/A
MLnetworks,Morocco,N/A,https://mlnetworks.ma
Mmc,Algeria,N/A,N/A
"MONITORAPP Co., LTd.","Korea, Republic Of",N/A,https://www.monitorapp.com
MOTIONVILLEE LLC,United States of America,N/A,https://motionvillee.com/
Myfair,Morocco,N/A,N/A
MYTM Private Limited,Pakistan,N/A,N/A
Nearpays Technologies,Nigeria,N/A,https://www.nearpays.com
NEBRAS COMPUTER SOFTWARE DESIGNING,United Arab Emirates,N/A,N/A
Negin Samaneh Hooshmand Paj,Iran,N/A,https://www.nspelectronics.com
Net-Recrute,United Arab Emirates,N/A,N/A
Netaccess Communications Ltd,Nigeria,N/A,https://www.netaccessnigeria.com
Neuralsight,Kenya,"['Artificial Intelligence', 'Big Data & Analytics', 'Blockchain', 'Cloud Services', 'Coding and Development']",https://neurallabs.africa/
Neutune Co. Ltd.,"Korea, Republic Of","['Artificial Intelligence', 'Blockchain', 'Metaverse, Immersive Tech', 'Retail Tech', 'Software Services']",https://neutune.com
Notchnco,Egypt,N/A,https://www.notchnco.com
Nucleon Security,France,N/A,https://nucleon-security.com/
Nura Solutions Pvt. Ltd.,India,N/A,N/A
Offee,India,N/A,https://offee.in/
OLINDIAS,Tunisia,['Artificial Intelligence'],https://www.olindias.com/
ONDA Inc.,"Korea, Republic Of",N/A,http://global.onda.me
Open Innovation Access,United States of America,N/A,N/A
OptimaGeeks,Pakistan,N/A,N/A
"Optimays Inc.,",Japan,N/A,https://optilife.ai/
Outboost Media Analytics,Gambia,N/A,https://www.outboost.gm
OZZ Technologies,United Arab Emirates,N/A,https://ozz.co
PABLO AIR,"Korea, Republic Of",N/A,https://www.pabloair.com
PanoX,China,"['Artificial Intelligence', 'Metaverse, Immersive Tech']",https://www.panox.com
PARQOUR - SMART PARKING TECHNOLOGIES,United Arab Emirates,['Future Mobility & Transportation'],https://parqour.com/
PAWBUDDY,United Arab Emirates,N/A,N/A
Peekapak,Canada,N/A,https://www.peekapak.com
Perfect Doc Studio Inc.,Canada,N/A,N/A
Pet Watch,United Arab Emirates,N/A,https://petwatchapp.com/
Phiji,Germany,"['Artificial Intelligence', 'Education Tech', 'Gaming']",http://phiji.org/en.com
Phoenix Evolution DMCC,United Arab Emirates,"['5G & Telecommunications', 'Artificial Intelligence', 'Big Data & Analytics', 'Cloud Services', 'Ecommerce']",https://www.phoenixevolution.ae/
Pinsteps,Israel,N/A,https://pinsteps.com
Pioneer Investors,Oman,N/A,N/A
Planet Beyond UK Pvt LTd.,United Kingdom,N/A,https://planetbeyond.co.uk
Promedius Inc.,"Korea, Republic Of",N/A,https://www.promedius.ai/
ProofEasy,Malaysia,"['Big Data & Analytics', 'Blockchain', 'Coding and Development']",https://proofeasy.io
Prospect Precise,India,"['Media, Marketing & Advertising Tech']",https://prospectprecise.com/
Prospectuz DGTAL,Uzbekistan,N/A,https://prospectuzdgtal.com
Proxgy,India,"['Artificial Intelligence', 'Consumer Tech, Smart Home & Smart Workplace', 'Future Mobility & Transportation', 'Internet of Things (IOT)', 'Smart Cities']",https://proxgy.com
PsycReality,"Ireland, Republic of",N/A,N/A
Quecko. Inc,Pakistan,N/A,N/A
Quid Sol (Pvt) Ltd,Pakistan,"['3D Printing & Printing Services', 'Big Data & Analytics', 'Coding and Development', 'Education Tech', 'Gaming']",https://quids.tech
Rainbow Chimney Educational Aids,United Arab Emirates,"['Education Tech', 'Metaverse, Immersive Tech', 'Smart Cities']",https://www.rainbowchimney.ae
Recursive Inc.,Japan,N/A,https://recursiveai.co.jp/en/
Redington Middle East and Africa,United Arab Emirates,N/A,https://redingtongroup.com/
Revstack,Pakistan,N/A,N/A
Riyadh Valley Company,Saudi Arabia,"['Artificial Intelligence', 'Education Tech', 'Energy Tech', 'Fintech', 'HealthTech']",https://rvc.com.sa/en/
Rocket Science Development,Canada,N/A,N/A
RODIOLA TECHNOLOGIES LLC FZ,United Arab Emirates,N/A,http://www.blackfox-rus.com/
Rudzambilu Holdings (PTY) Ltd,South Africa,N/A,https://www.signotranslator.com
Safetech Digital and Cognitive Solutions FZE,United Arab Emirates,N/A,N/A
Safira.ai,Germany,N/A,https://safira.ai/
"SAKIGAKE Semiconductor Co., Ltd",Japan,N/A,https://sakigakes.co.jp/
Samasth Living Pvt Ltd,India,N/A,https://www.thesettl.com
Sanjesh Maharat Paya,Iran,N/A,N/A
Sanjesh Maharat Paya,United Arab Emirates,N/A,N/A
SAP,United Arab Emirates,['Artificial Intelligence'],https://www.sap.com/products/erp/grow/scaleups.html
Sare Shomal Engineering,Iran,N/A,https://www.sare-eng.com
SecDojo,France,N/A,N/A
ShaQ Express,Ghana,"['Artificial Intelligence', 'Ecommerce', 'Future Mobility & Transportation', 'Media, Marketing & Advertising Tech', 'Retail Tech']",https://shaqexpress.com/
Sharebox,"Korea, Republic Of",N/A,https://www.ssharebox.com
Sharjah Business Women Council - AE,United Arab Emirates,N/A,https://www.sbwc.ae
Sharjah Entrepreneurship Center,United Arab Emirates,N/A,https://www.sheraa.ae
SHENZHEN XGRIDS-INNOVATION CO. LTD,China,N/A,https://www.xgrids.cn
Sherdil Cloud,Pakistan,N/A,N/A
ShinyPi,Iran,N/A,https://shinypi.net/
Shuraa Management & Consultancy LLC,United Arab Emirates,N/A,https://www.shuraa.com
Simla Group,Cyprus,N/A,N/A
SIMPPLE Ltd,Singapore,"['Artificial Intelligence', 'Big Data & Analytics', 'Cloud Services', 'Internet of Things (IOT)', 'PropTech']",http://simpple.ai
"Sina Robotics and Medical Innovators Co., Ltd.,",Iran,N/A,https://www.SinaMed.ir
Smart Audio Technologies,United Kingdom,N/A,N/A
Smart Performance Management FZE-LLC,United Arab Emirates,"['Artificial Intelligence', 'Big Data & Analytics', 'Coding and Development', 'Cyber security', 'Data Centres']",https://spmconsultants.com/
"Smart Radar System, Inc.","Korea, Republic Of",N/A,https://www.smartradarsystem.com
SmartHCM,Pakistan,N/A,https://SmartHCM.cloud
SNPIT,Japan,"['Blockchain', 'Fintech', 'Metaverse, Immersive Tech']",https://lp.snpit.xyz/
Socium,Senegal,N/A,https://sociumjob.com
Soonicorn Ventures,India,['Fintech'],https://soonicornventures.com/
Spatial Pleasure,Japan,N/A,https://spatial-pleasure.xyz/
Spatial Pleasure,Japan,N/A,https://spatial-pleasure.xyz/
Sport Vision Technology,Poland,"['Artificial Intelligence', 'Gaming', 'Media, Marketing & Advertising Tech', 'Metaverse, Immersive Tech']",http://sportvision.tech
STANDAGE Inc.,Japan,N/A,https://standage.co.jp/en
Start from today ltd.,United Kingdom,N/A,N/A
startAD - New York University in Abu Dhabi Corporation,United Arab Emirates,N/A,N/A
Startup Grind,United States of America,N/A,https://www.startupgrind.com
"Suzhou Element Three New Energy Technology Co., Ltd.",China,N/A,https://bootsmoving.com
"Suzhou Limu Automotive Technology Co., Ltd",China,"['Artificial Intelligence', 'Energy Tech', 'Future Mobility & Transportation']",http://en.shjiyukeji.com/
SYNECTIKS INC,United States of America,"['Big Data & Analytics', 'Cloud Services', 'Coding and Development', 'Internet of Things (IOT)', 'Software Services']",https://www.synectiks.com
Table Finder,United Arab Emirates,"['AgriTech & FoodTech', 'Cloud Services']",https://www.tablefinder.online
TableAt,United Arab Emirates,N/A,N/A
Talent-e,United Arab Emirates,"['Media, Marketing & Advertising Tech']",http://www.talent-e.io
Tamil Nadu Startup and Innovation Mission,India,N/A,N/A
Tamkeen,Bahrain,N/A,http://www.tamkeen.bh
Teamcognito Solutions Pvt Ltd,India,N/A,https://zeron.one
Tecaudex Private Limited,Pakistan,N/A,https://www.tecaudex.com/
Techcellance,Sweden,"['Coding and Development', 'Ecommerce', 'Software Services']",https://www.techcellance.com/
Technofer Technology Solutions Corp.,Canada,N/A,N/A
Tekclan Software Solutions Private Limited,India,N/A,N/A
TeraBit IT,Pakistan,N/A,https://terabitit.com/
TerraQuanta,China,N/A,https://terraqt.ai
Test ENS 2023,Taiwan (R.O.C.),N/A,N/A
THATWARE LLP,India,N/A,N/A
The SquarePeg,Pakistan,N/A,N/A
"TOONPLUS Co., Ltd","Korea, Republic Of",N/A,https://blog.naver.com/storyhoon1117
"Toraru co.,ltd.",Japan,N/A,http://toraru.co.jp/en
Touch and Pay Technologies,Nigeria,N/A,https://touchandpay.me/
TraceNcode Technologies Private Limited,India,"['Artificial Intelligence', 'Coding and Development', 'Ecommerce', 'Fintech', 'Software Services']",https://www.tracencode.com
UBIQHR,United Arab Emirates,N/A,https://www.ubiqhr.com
Uforia Infotech Solutions,Pakistan,"['3D Printing & Printing Services', 'Cloud Services', 'Coding and Development', 'Ecommerce', 'Media, Marketing & Advertising Tech']",https://www.uforiainfotech.com
UmbraCity Inc.,Canada,N/A,https://umbracity.com
Unimal,Japan,N/A,https://unimal.jp
UP10 Media,United Arab Emirates,"['Media, Marketing & Advertising Tech']",https://up10.co
Usermost,Canada,"['Big Data & Analytics', 'Media, Marketing & Advertising Tech']",https://usermost.com/
VBRL,United States of America,"['Artificial Intelligence', 'Coding and Development', 'Internet of Things (IOT)', 'Smart Cities', 'Software Services']",https://vbrl.ai/
vConnect iDees Services,India,N/A,N/A
Verofax Ltd,United Arab Emirates,N/A,N/A
Wantotrip,Tunisia,N/A,https://wantotrip.net/
Weego,Morocco,N/A,https://www.weegolines.com
WIDEBOT,Egypt,N/A,https://www.widebot.net
Wishtel Private Limited,India,N/A,N/A
World Market Business Co,Iran,['Energy Tech'],https://nirooban.com/
"Xianghang (Rudong) Technology Co., Ltd",China,N/A,http://xianghangkeji.com
Xporience,Argentina,"['3D Printing & Printing Services', 'AgriTech & FoodTech', 'Artificial Intelligence', 'Blockchain', 'Consumer Tech, Smart Home & Smart Workplace']",https://xporience.com/
Xporience,Argentina,"['AgriTech & FoodTech', 'Artificial Intelligence', 'Cloud Services', 'Cyber security', 'Education Tech']",https://xporience.com/
YABEX (Macan Safar Jahan),Iran,N/A,https://www.yabex.net
YALLAGRUB,United Arab Emirates,N/A,N/A
Yapiee LLC,United Arab Emirates,N/A,N/A
YolaFresh,Morocco,['Ecommerce'],http://www.yolafresh.com
YOUREG LTD,Cyprus,N/A,N/A
Zarzad Nadbaltyckich Inicjatyw Klastrowych Sp. Z o. o.,Poland,N/A,N/A
Zenland,Uzbekistan,N/A,https://zen.land/
